   r,m	P, W/m^2
---------------------------
0.100000	1507.904213
0.199000	398.420952
0.298000	171.057114
0.397000	103.973536
0.496000	61.205260
0.595000	43.300480
0.694000	29.055474
0.793000	23.993402
0.892000	22.159194
0.991000	13.052690
1.090000	10.484378
1.189000	10.960160
1.288000	10.478543
1.387000	6.965764
1.486000	8.543455
1.585000	6.359756
1.684000	6.555218
1.783000	3.407707
1.882000	4.765453
1.981000	3.259741
2.080000	4.163150
2.179000	2.828562
2.278000	2.162884
2.377000	2.394661
2.476000	1.532866
2.575000	1.379887
2.674000	1.916070
2.773000	2.825450
2.872000	2.793263
2.971000	1.434497
3.070000	1.421825
3.169000	1.500955
3.268000	1.631526
3.367000	0.793333
3.466000	0.986747
3.565000	1.698840
3.664000	1.099413
3.763000	0.752744
3.862000	1.105006
3.961000	1.719787
4.060000	0.528433
4.159000	0.977621
4.258000	1.120617
4.357000	1.063835
4.456000	1.290364
4.555000	0.281550
4.654000	0.283511
4.753000	0.706723
4.852000	0.505032
4.951000	0.662573
5.050000	0.837494
5.149000	0.417544
5.248000	1.163488
5.347000	0.698907
5.446000	1.060963
5.545000	0.644713
5.644000	0.146936
5.743000	0.395158
5.842000	0.422831
5.941000	0.955009
6.040000	0.486260
6.139000	0.097737
6.238000	0.704334
6.337000	0.252908
6.436000	0.225563
6.535000	0.375748
6.634000	0.418018
6.733000	0.461603
6.832000	0.371087
6.931000	0.053265
7.030000	0.262359
7.129000	0.124655
7.228000	0.457139
7.327000	0.404963
7.426000	0.220943
7.525000	0.626854
7.624000	0.319425
7.723000	0.109489
7.822000	0.208830
7.921000	0.179894
8.020000	0.233763
8.119000	0.174081
8.218000	0.530989
8.317000	0.571974
8.416000	0.345616
8.515000	0.142597
8.614000	0.509939
8.713000	0.049862
8.812000	0.028078
8.911000	0.036309
9.010000	0.098440
9.109000	0.423224
9.208000	0.288321
9.307000	0.055739
9.406000	0.312544
9.505000	0.357270
9.604000	0.187777
9.703000	0.026514
9.802000	0.046198
9.901000	0.032402
10.000000	0.343729
