   r,m	P, W/m^2
---------------------------
0.100000	1549.400566
0.199000	384.034976
0.298000	171.505711
0.397000	92.020899
0.496000	57.718785
0.595000	43.015967
0.694000	35.226715
0.793000	23.947511
0.892000	18.070361
0.991000	14.186130
1.090000	15.173637
1.189000	10.102007
1.288000	10.850365
1.387000	9.735488
1.486000	6.337512
1.585000	5.320837
1.684000	5.476246
1.783000	5.116903
1.882000	4.506350
1.981000	2.926331
2.080000	3.712241
2.179000	3.151985
2.278000	2.418687
2.377000	3.935035
2.476000	1.899589
2.575000	1.804759
2.674000	3.161342
2.773000	2.496956
2.872000	1.875749
2.971000	1.650283
3.070000	1.298653
3.169000	1.913029
3.268000	2.196722
3.367000	1.260007
3.466000	1.742990
3.565000	1.309695
3.664000	0.625712
3.763000	0.946461
3.862000	0.805710
3.961000	0.669930
4.060000	0.882179
4.159000	0.986418
4.258000	1.360322
4.357000	0.322037
4.456000	1.084421
4.555000	0.449437
4.654000	1.074901
4.753000	0.897550
4.852000	0.324522
4.951000	0.377934
5.050000	1.225495
5.149000	0.901902
5.248000	0.977236
5.347000	0.409606
5.446000	0.708448
5.545000	0.432059
5.644000	0.640851
5.743000	0.649970
5.842000	0.965371
5.941000	0.439107
6.040000	0.369207
6.139000	0.125604
6.238000	0.348463
6.337000	0.703794
6.436000	0.298738
6.535000	0.446656
6.634000	0.090038
6.733000	0.097871
6.832000	0.839678
6.931000	0.451380
7.030000	0.424468
7.129000	0.648221
7.228000	0.147666
7.327000	0.422279
7.426000	0.052352
7.525000	0.043268
7.624000	0.592481
7.723000	0.605172
7.822000	0.700302
7.921000	0.596551
8.020000	0.051526
8.119000	0.057663
8.218000	0.483311
8.317000	0.234430
8.416000	0.447747
8.515000	0.286297
8.614000	0.410772
8.713000	0.574031
8.812000	0.311956
8.911000	0.365002
9.010000	0.067489
9.109000	0.021551
9.208000	0.380959
9.307000	0.319233
9.406000	0.310315
9.505000	0.048636
9.604000	0.490030
9.703000	0.144807
9.802000	0.197189
9.901000	0.240760
10.000000	0.272686
