   r,m	P, W/m^2
---------------------------
0.100000	1539.265368
0.199000	384.774317
0.298000	180.192218
0.397000	100.800010
0.496000	56.854766
0.595000	47.196528
0.694000	28.688139
0.793000	23.688141
0.892000	16.651236
0.991000	16.843850
1.090000	15.197436
1.189000	11.616717
1.288000	9.058407
1.387000	6.642328
1.486000	5.454482
1.585000	5.939354
1.684000	5.070518
1.783000	6.095328
1.882000	4.435516
1.981000	3.253344
2.080000	3.532930
2.179000	2.576163
2.278000	2.200029
2.377000	2.301848
2.476000	2.727748
2.575000	2.246093
2.674000	2.740187
2.773000	2.672634
2.872000	1.459808
2.971000	2.034334
3.070000	1.018171
3.169000	1.999168
3.268000	0.742816
3.367000	1.287246
3.466000	0.906405
3.565000	1.568195
3.664000	1.724077
3.763000	0.537850
3.862000	1.276511
3.961000	1.233151
4.060000	0.408358
4.159000	0.827332
4.258000	0.426663
4.357000	0.743345
4.456000	1.343838
4.555000	0.270463
4.654000	1.272965
4.753000	0.474284
4.852000	1.105707
4.951000	0.237042
5.050000	0.354344
5.149000	0.424668
5.248000	0.500059
5.347000	0.220602
5.446000	0.539013
5.545000	0.895107
5.644000	0.660592
5.743000	0.961635
5.842000	0.399338
5.941000	0.193633
6.040000	0.340596
6.139000	0.132284
6.238000	0.138970
6.337000	0.119884
6.436000	0.663951
6.535000	0.798715
6.634000	0.299611
6.733000	0.228603
6.832000	0.559988
6.931000	0.303737
7.030000	0.363597
7.129000	0.108363
7.228000	0.225794
7.327000	0.196705
7.426000	0.060349
7.525000	0.672339
7.624000	0.475864
7.723000	0.048140
7.822000	0.153249
7.921000	0.107986
8.020000	0.224031
8.119000	0.227693
8.218000	0.593387
8.317000	0.055415
8.416000	0.492575
8.515000	0.417171
8.614000	0.231101
8.713000	0.039847
8.812000	0.264833
8.911000	0.517417
9.010000	0.060766
9.109000	0.251304
9.208000	0.312990
9.307000	0.008597
9.406000	0.085209
9.505000	0.228941
9.604000	0.199529
9.703000	0.055078
9.802000	0.048310
9.901000	0.076589
10.000000	0.434839
