   r,m	P, W/m^2
---------------------------
0.100000	1553.072927
0.199000	390.210526
0.298000	170.022944
0.397000	103.138143
0.496000	59.109135
0.595000	45.639777
0.694000	34.978910
0.793000	24.236098
0.892000	18.359966
0.991000	14.066034
1.090000	11.533317
1.189000	9.695667
1.288000	9.288799
1.387000	6.728987
1.486000	7.493853
1.585000	4.943410
1.684000	5.128826
1.783000	5.662831
1.882000	3.660051
1.981000	3.230102
2.080000	4.280792
2.179000	3.259282
2.278000	4.117405
2.377000	2.660217
2.476000	2.141616
2.575000	2.854999
2.674000	2.377546
2.773000	2.232298
2.872000	2.070849
2.971000	2.119099
3.070000	1.831892
3.169000	1.971184
3.268000	1.710584
3.367000	2.205255
3.466000	1.281629
3.565000	0.738540
3.664000	1.015799
3.763000	0.954219
3.862000	0.570001
3.961000	0.722021
4.060000	1.178131
4.159000	0.436088
4.258000	1.449612
4.357000	1.351891
4.456000	0.369141
4.555000	0.979246
4.654000	0.651511
4.753000	1.130508
4.852000	0.349165
4.951000	0.824640
5.050000	0.640800
5.149000	0.565726
5.248000	0.368559
5.347000	1.089548
5.446000	0.176993
5.545000	0.350271
5.644000	0.496772
5.743000	1.061164
5.842000	0.186748
5.941000	0.183204
6.040000	0.166820
6.139000	0.231377
6.238000	0.621443
6.337000	0.536458
6.436000	0.136673
6.535000	0.072004
6.634000	0.789627
6.733000	0.565283
6.832000	0.415220
6.931000	0.217036
7.030000	0.412737
7.129000	0.231520
7.228000	0.415966
7.327000	0.332155
7.426000	0.098148
7.525000	0.051694
7.624000	0.451913
7.723000	0.271746
7.822000	0.261712
7.921000	0.026096
8.020000	0.214192
8.119000	0.230747
8.218000	0.089534
8.317000	0.500074
8.416000	0.588374
8.515000	0.639797
8.614000	0.318838
8.713000	0.073011
8.812000	0.190860
8.911000	0.284462
9.010000	0.015357
9.109000	0.019510
9.208000	0.043787
9.307000	0.056670
9.406000	0.366196
9.505000	0.003851
9.604000	0.008456
9.703000	0.389580
9.802000	0.020611
9.901000	0.072327
10.000000	0.034039
