   r,m	P, W/m^2
---------------------------
0.100000	1535.735835
0.199000	378.162382
0.298000	163.845551
0.397000	91.450496
0.496000	63.289836
0.595000	44.438287
0.694000	31.037278
0.793000	25.675980
0.892000	17.506825
0.991000	13.317373
1.090000	11.574332
1.189000	9.301760
1.288000	10.161434
1.387000	10.037655
1.486000	6.536886
1.585000	4.541048
1.684000	5.820008
1.783000	3.868597
1.882000	4.578590
1.981000	3.979715
2.080000	3.133562
2.179000	3.783773
2.278000	2.597992
2.377000	2.806131
2.476000	2.425028
2.575000	1.386692
2.674000	1.449666
2.773000	2.396026
2.872000	1.667029
2.971000	1.255832
3.070000	1.003923
3.169000	1.406610
3.268000	1.114557
3.367000	1.584421
3.466000	0.698763
3.565000	0.647006
3.664000	1.635580
3.763000	1.457609
3.862000	0.869905
3.961000	1.761878
4.060000	1.074442
4.159000	0.711315
4.258000	1.212188
4.357000	1.104290
4.456000	0.792359
4.555000	0.341966
4.654000	0.320453
4.753000	0.377709
4.852000	0.901170
4.951000	0.848866
5.050000	1.035604
5.149000	0.708387
5.248000	0.896526
5.347000	0.673031
5.446000	0.201563
5.545000	0.266733
5.644000	0.316484
5.743000	0.302527
5.842000	0.928661
5.941000	0.121735
6.040000	0.619289
6.139000	0.406812
6.238000	0.406294
6.337000	0.339433
6.436000	0.708158
6.535000	0.335757
6.634000	0.561846
6.733000	0.262816
6.832000	0.092130
6.931000	0.237465
7.030000	0.324380
7.129000	0.478490
7.228000	0.049121
7.327000	0.117820
7.426000	0.573564
7.525000	0.250722
7.624000	0.181755
7.723000	0.206315
7.822000	0.294752
7.921000	0.225945
8.020000	0.075799
8.119000	0.520435
8.218000	0.276423
8.317000	0.146274
8.416000	0.032982
8.515000	0.139768
8.614000	0.024696
8.713000	0.054591
8.812000	0.572403
8.911000	0.427954
9.010000	0.029271
9.109000	0.570874
9.208000	0.246743
9.307000	0.295649
9.406000	0.055501
9.505000	0.512294
9.604000	0.185175
9.703000	0.003494
9.802000	0.530305
9.901000	0.436954
10.000000	0.244168
