   r,m	P, W/m^2
---------------------------
0.100000	1526.664540
0.199000	373.723437
0.298000	174.486520
0.397000	103.101537
0.496000	63.613871
0.595000	45.173174
0.694000	28.183903
0.793000	24.023045
0.892000	17.942270
0.991000	18.243068
1.090000	12.460765
1.189000	8.825941
1.288000	9.730599
1.387000	7.802040
1.486000	5.952249
1.585000	7.756791
1.684000	5.738054
1.783000	5.859918
1.882000	3.359226
1.981000	4.161129
2.080000	4.239707
2.179000	2.342961
2.278000	4.235510
2.377000	1.803423
2.476000	1.872656
2.575000	1.764913
2.674000	1.780379
2.773000	2.006377
2.872000	1.642265
2.971000	2.666621
3.070000	1.336559
3.169000	1.820039
3.268000	1.990167
3.367000	0.749360
3.466000	0.694477
3.565000	0.619706
3.664000	0.954236
3.763000	1.273833
3.862000	1.551737
3.961000	0.820164
4.060000	0.941956
4.159000	0.612044
4.258000	0.712297
4.357000	1.217432
4.456000	0.357193
4.555000	0.380406
4.654000	0.278009
4.753000	0.611187
4.852000	1.312478
4.951000	0.258829
5.050000	0.992871
5.149000	0.721225
5.248000	0.544624
5.347000	0.497439
5.446000	0.555039
5.545000	0.372217
5.644000	0.673845
5.743000	0.969968
5.842000	0.439148
5.941000	0.508217
6.040000	0.253077
6.139000	0.550381
6.238000	0.814925
6.337000	0.672847
6.436000	0.070482
6.535000	0.479976
6.634000	0.079726
6.733000	0.269214
6.832000	0.767975
6.931000	0.057108
7.030000	0.565024
7.129000	0.469825
7.228000	0.036523
7.327000	0.275477
7.426000	0.121252
7.525000	0.347924
7.624000	0.370455
7.723000	0.407498
7.822000	0.163688
7.921000	0.355210
8.020000	0.298853
8.119000	0.018697
8.218000	0.039538
8.317000	0.505671
8.416000	0.048442
8.515000	0.035628
8.614000	0.218693
8.713000	0.152337
8.812000	0.331057
8.911000	0.344506
9.010000	0.575038
9.109000	0.132597
9.208000	0.198491
9.307000	0.319789
9.406000	0.472198
9.505000	0.577466
9.604000	0.126664
9.703000	0.083437
9.802000	0.030367
9.901000	0.095712
10.000000	0.292845
