   r,m	P, W/m^2
---------------------------
0.100000	1511.473443
0.199000	397.747022
0.298000	180.432334
0.397000	97.773498
0.496000	63.524890
0.595000	44.347774
0.694000	30.124983
0.793000	27.158652
0.892000	16.381851
0.991000	13.788707
1.090000	13.083049
1.189000	9.073298
1.288000	7.360782
1.387000	7.262389
1.486000	8.560558
1.585000	6.813143
1.684000	5.851611
1.783000	3.622931
1.882000	3.567793
1.981000	3.417310
2.080000	3.299224
2.179000	2.307326
2.278000	3.488448
2.377000	3.529710
2.476000	2.971318
2.575000	2.855162
2.674000	2.649688
2.773000	1.142082
2.872000	2.016316
2.971000	2.111435
3.070000	0.860850
3.169000	1.559631
3.268000	2.052252
3.367000	0.725240
3.466000	1.092424
3.565000	1.233530
3.664000	1.681379
3.763000	1.788325
3.862000	1.081380
3.961000	0.932491
4.060000	0.943435
4.159000	1.560691
4.258000	0.378997
4.357000	0.437026
4.456000	1.142992
4.555000	1.026852
4.654000	0.980313
4.753000	0.906944
4.852000	0.503912
4.951000	0.214834
5.050000	1.108637
5.149000	0.168231
5.248000	1.077255
5.347000	0.387062
5.446000	0.277198
5.545000	0.373234
5.644000	0.560986
5.743000	0.410481
5.842000	0.520645
5.941000	0.474541
6.040000	0.545590
6.139000	0.826957
6.238000	0.430316
6.337000	0.903429
6.436000	0.283222
6.535000	0.229780
6.634000	0.349619
6.733000	0.593803
6.832000	0.401176
6.931000	0.484768
7.030000	0.090218
7.129000	0.788772
7.228000	0.605739
7.327000	0.043199
7.426000	0.051443
7.525000	0.052233
7.624000	0.149991
7.723000	0.072624
7.822000	0.034930
7.921000	0.690224
8.020000	0.389972
8.119000	0.395803
8.218000	0.084126
8.317000	0.448800
8.416000	0.453650
8.515000	0.051756
8.614000	0.137713
8.713000	0.129603
8.812000	0.425262
8.911000	0.116308
9.010000	0.223892
9.109000	0.133128
9.208000	0.565940
9.307000	0.312012
9.406000	0.352961
9.505000	0.026138
9.604000	0.407006
9.703000	0.074562
9.802000	0.182701
9.901000	0.008183
10.000000	0.052183
