   r,m	P, W/m^2
---------------------------
0.100000	1527.008498
0.199000	387.027566
0.298000	181.203368
0.397000	91.717226
0.496000	63.664964
0.595000	39.856949
0.694000	34.996541
0.793000	27.291660
0.892000	19.554698
0.991000	14.625038
1.090000	15.025734
1.189000	10.512227
1.288000	10.459083
1.387000	6.924535
1.486000	6.023887
1.585000	4.664276
1.684000	5.504144
1.783000	4.769604
1.882000	5.232945
1.981000	4.400683
2.080000	4.072906
2.179000	2.867893
2.278000	3.081144
2.377000	2.777689
2.476000	2.244317
2.575000	2.870728
2.674000	2.522099
2.773000	2.172063
2.872000	1.127051
2.971000	1.147497
3.070000	1.319248
3.169000	2.235128
3.268000	1.958179
3.367000	1.645221
3.466000	1.119878
3.565000	2.000531
3.664000	1.726136
3.763000	0.924248
3.862000	1.296792
3.961000	0.929718
4.060000	0.516447
4.159000	0.575192
4.258000	0.519872
4.357000	0.911673
4.456000	0.568074
4.555000	0.277675
4.654000	0.832287
4.753000	0.731145
4.852000	0.774015
4.951000	0.609333
5.050000	1.258910
5.149000	0.392416
5.248000	0.342341
5.347000	0.275476
5.446000	0.941609
5.545000	0.198033
5.644000	0.837385
5.743000	0.869619
5.842000	0.445512
5.941000	0.844237
6.040000	0.631637
6.139000	0.529503
6.238000	0.516751
6.337000	0.832064
6.436000	0.894809
6.535000	0.514067
6.634000	0.117309
6.733000	0.064571
6.832000	0.138565
6.931000	0.201091
7.030000	0.356462
7.129000	0.227612
7.228000	0.050632
7.327000	0.285325
7.426000	0.237870
7.525000	0.148384
7.624000	0.584644
7.723000	0.285220
7.822000	0.158326
7.921000	0.041485
8.020000	0.178230
8.119000	0.208512
8.218000	0.079209
8.317000	0.028490
8.416000	0.385263
8.515000	0.066852
8.614000	0.097233
8.713000	0.251961
8.812000	0.392807
8.911000	0.440452
9.010000	0.179913
9.109000	0.166618
9.208000	0.180614
9.307000	0.360800
9.406000	0.073477
9.505000	0.398438
9.604000	0.301567
9.703000	0.003203
9.802000	0.025372
9.901000	0.256272
10.000000	0.411791
