   r,m	P, W/m^2
---------------------------
0.100000	1554.974574
0.199000	373.205979
0.298000	165.389818
0.397000	90.650340
0.496000	59.142659
0.595000	39.904269
0.694000	33.832596
0.793000	21.285614
0.892000	17.477172
0.991000	18.300819
1.090000	11.733051
1.189000	10.295622
1.288000	7.442589
1.387000	6.828604
1.486000	8.247871
1.585000	6.497017
1.684000	6.175897
1.783000	3.768649
1.882000	5.845315
1.981000	4.384770
2.080000	4.641087
2.179000	2.609983
2.278000	3.232142
2.377000	2.535623
2.476000	2.248419
2.575000	3.231760
2.674000	2.901420
2.773000	2.078521
2.872000	2.467288
2.971000	1.067408
3.070000	1.355020
3.169000	1.592958
3.268000	1.340148
3.367000	0.774703
3.466000	1.456108
3.565000	1.434748
3.664000	1.261990
3.763000	0.986286
3.862000	1.292845
3.961000	0.593959
4.060000	1.556212
4.159000	1.640708
4.258000	1.510119
4.357000	0.595464
4.456000	0.338907
4.555000	0.267835
4.654000	0.981806
4.753000	1.215875
4.852000	0.805124
4.951000	0.396097
5.050000	0.311025
5.149000	1.204017
5.248000	0.465458
5.347000	0.665963
5.446000	1.031854
5.545000	0.636025
5.644000	0.202782
5.743000	0.243108
5.842000	0.953247
5.941000	0.426249
6.040000	0.405945
6.139000	0.436651
6.238000	0.819871
6.337000	0.366232
6.436000	0.095252
6.535000	0.614386
6.634000	0.333508
6.733000	0.121682
6.832000	0.183130
6.931000	0.165117
7.030000	0.168742
7.129000	0.735007
7.228000	0.227602
7.327000	0.226448
7.426000	0.252647
7.525000	0.151002
7.624000	0.586468
7.723000	0.297633
7.822000	0.288323
7.921000	0.039910
8.020000	0.147888
8.119000	0.133426
8.218000	0.510391
8.317000	0.110653
8.416000	0.121112
8.515000	0.446680
8.614000	0.274860
8.713000	0.028112
8.812000	0.378865
8.911000	0.109622
9.010000	0.074626
9.109000	0.060625
9.208000	0.445070
9.307000	0.217214
9.406000	0.052464
9.505000	0.063658
9.604000	0.463575
9.703000	0.169565
9.802000	0.376561
9.901000	0.459098
10.000000	0.281979
