   r,m	P, W/m^2
---------------------------
0.100000	1516.401016
0.199000	390.384385
0.298000	172.199091
0.397000	95.456279
0.496000	60.740950
0.595000	46.656293
0.694000	32.891949
0.793000	23.997896
0.892000	16.346858
0.991000	14.214592
1.090000	13.657967
1.189000	10.825818
1.288000	8.852238
1.387000	9.026945
1.486000	6.036771
1.585000	5.256193
1.684000	5.373856
1.783000	6.393586
1.882000	5.006295
1.981000	2.959551
2.080000	3.856341
2.179000	3.853896
2.278000	2.587054
2.377000	2.284351
2.476000	1.922755
2.575000	1.667737
2.674000	1.288219
2.773000	1.322183
2.872000	2.481847
2.971000	1.142651
3.070000	2.578084
3.169000	1.036893
3.268000	1.442071
3.367000	0.933701
3.466000	1.257758
3.565000	1.096639
3.664000	0.520339
3.763000	0.682635
3.862000	1.424529
3.961000	0.740584
4.060000	0.738996
4.159000	1.124742
4.258000	0.977091
4.357000	0.699043
4.456000	1.182349
4.555000	0.981955
4.654000	1.360487
4.753000	1.198579
4.852000	0.781740
4.951000	1.243625
5.050000	0.565787
5.149000	0.678956
5.248000	0.438951
5.347000	0.888926
5.446000	0.431964
5.545000	0.294832
5.644000	0.274128
5.743000	0.762499
5.842000	0.663039
5.941000	0.373178
6.040000	0.305793
6.139000	0.803796
6.238000	0.639412
6.337000	0.223263
6.436000	0.197778
6.535000	0.337074
6.634000	0.137417
6.733000	0.308968
6.832000	0.765222
6.931000	0.336504
7.030000	0.383009
7.129000	0.651412
7.228000	0.247664
7.327000	0.167871
7.426000	0.497243
7.525000	0.573641
7.624000	0.322083
7.723000	0.387967
7.822000	0.219680
7.921000	0.052204
8.020000	0.224220
8.119000	0.267620
8.218000	0.239732
8.317000	0.257189
8.416000	0.105640
8.515000	0.141831
8.614000	0.140262
8.713000	0.092343
8.812000	0.009932
8.911000	0.062952
9.010000	0.045472
9.109000	0.371310
9.208000	0.398118
9.307000	0.083024
9.406000	0.114112
9.505000	0.050666
9.604000	0.141227
9.703000	0.504508
9.802000	0.386658
9.901000	0.109567
10.000000	0.294047
