   r,m	P, W/m^2
---------------------------
0.100000	1520.699523
0.199000	387.523269
0.298000	180.508958
0.397000	99.487237
0.496000	59.087469
0.595000	44.622938
0.694000	33.180428
0.793000	21.428051
0.892000	16.887616
0.991000	15.588779
1.090000	13.396107
1.189000	8.935758
1.288000	9.742807
1.387000	7.135072
1.486000	5.328867
1.585000	5.862405
1.684000	4.358623
1.783000	3.963505
1.882000	4.840121
1.981000	4.346309
2.080000	3.639537
2.179000	3.197732
2.278000	1.904936
2.377000	3.656631
2.476000	2.114579
2.575000	2.633007
2.674000	2.819649
2.773000	2.907265
2.872000	2.473144
2.971000	1.514802
3.070000	2.219543
3.169000	0.830383
3.268000	0.979742
3.367000	1.659626
3.466000	1.470024
3.565000	1.823878
3.664000	1.075367
3.763000	1.743908
3.862000	0.571259
3.961000	0.608635
4.060000	1.523462
4.159000	0.671228
4.258000	0.499964
4.357000	0.541552
4.456000	0.821628
4.555000	0.313496
4.654000	0.956884
4.753000	0.846297
4.852000	0.851027
4.951000	0.743268
5.050000	0.467007
5.149000	0.612237
5.248000	0.376103
5.347000	0.263239
5.446000	0.939957
5.545000	0.450900
5.644000	0.539851
5.743000	0.660927
5.842000	0.757722
5.941000	0.753053
6.040000	0.904792
6.139000	0.604417
6.238000	0.614226
6.337000	0.162555
6.436000	0.770768
6.535000	0.332800
6.634000	0.764882
6.733000	0.371658
6.832000	0.106736
6.931000	0.675013
7.030000	0.531976
7.129000	0.544055
7.228000	0.129013
7.327000	0.077921
7.426000	0.530176
7.525000	0.625494
7.624000	0.168279
7.723000	0.283957
7.822000	0.185850
7.921000	0.044995
8.020000	0.478593
8.119000	0.093303
8.218000	0.201747
8.317000	0.102344
8.416000	0.034147
8.515000	0.269711
8.614000	0.011608
8.713000	0.070205
8.812000	0.622640
8.911000	0.374327
9.010000	0.021406
9.109000	0.016281
9.208000	0.396904
9.307000	0.005366
9.406000	0.046741
9.505000	0.063925
9.604000	0.302114
9.703000	0.380980
9.802000	0.260750
9.901000	0.139505
10.000000	0.330998
