   r,m	P, W/m^2
---------------------------
0.100000	1502.458930
0.199000	379.482252
0.298000	171.733336
0.397000	97.941528
0.496000	65.033521
0.595000	40.926987
0.694000	30.986547
0.793000	21.481100
0.892000	17.428655
0.991000	17.792779
1.090000	13.673227
1.189000	11.443441
1.288000	7.272309
1.387000	6.750895
1.486000	5.283807
1.585000	7.145533
1.684000	4.764744
1.783000	4.767533
1.882000	4.296395
1.981000	2.775329
2.080000	4.119501
2.179000	2.087179
2.278000	3.492941
2.377000	2.616189
2.476000	2.963244
2.575000	2.960496
2.674000	1.250586
2.773000	1.526227
2.872000	1.159208
2.971000	2.296084
3.070000	0.873905
3.169000	2.155298
3.268000	0.800794
3.367000	0.891749
3.466000	0.692393
3.565000	1.618865
3.664000	0.671275
3.763000	0.925772
3.862000	0.967868
3.961000	0.602854
4.060000	0.704965
4.159000	1.589953
4.258000	0.460841
4.357000	1.099529
4.456000	0.478763
4.555000	1.158254
4.654000	1.079757
4.753000	0.985326
4.852000	0.951882
4.951000	0.250193
5.050000	0.406125
5.149000	0.532724
5.248000	0.602238
5.347000	0.460655
5.446000	0.275921
5.545000	0.365548
5.644000	0.163427
5.743000	0.390751
5.842000	0.127764
5.941000	1.014086
6.040000	0.185079
6.139000	0.225819
6.238000	0.124670
6.337000	0.869255
6.436000	0.515155
6.535000	0.743293
6.634000	0.770787
6.733000	0.062978
6.832000	0.294193
6.931000	0.261744
7.030000	0.299712
7.129000	0.695802
7.228000	0.677060
7.327000	0.389517
7.426000	0.611905
7.525000	0.405392
7.624000	0.167083
7.723000	0.098099
7.822000	0.072676
7.921000	0.021450
8.020000	0.230038
8.119000	0.219051
8.218000	0.102360
8.317000	0.431657
8.416000	0.413934
8.515000	0.101786
8.614000	0.195764
8.713000	0.143046
8.812000	0.128720
8.911000	0.197443
9.010000	0.386061
9.109000	0.122521
9.208000	0.275038
9.307000	0.081137
9.406000	0.125660
9.505000	0.021379
9.604000	0.313286
9.703000	0.175506
9.802000	0.102090
9.901000	0.157828
10.000000	0.008224
