   r,m	P, W/m^2
---------------------------
0.100000	1552.506552
0.199000	384.871263
0.298000	174.898042
0.397000	100.771514
0.496000	60.492211
0.595000	44.423504
0.694000	29.179553
0.793000	22.764218
0.892000	17.531179
0.991000	15.097147
1.090000	11.802264
1.189000	10.592595
1.288000	10.297771
1.387000	6.909712
1.486000	5.417037
1.585000	4.690094
1.684000	4.580390
1.783000	5.810875
1.882000	5.662040
1.981000	3.481511
2.080000	3.342150
2.179000	3.198905
2.278000	3.907662
2.377000	3.131670
2.476000	2.485823
2.575000	3.142158
2.674000	2.101213
2.773000	1.198626
2.872000	2.029351
2.971000	1.728476
3.070000	2.497770
3.169000	0.787769
3.268000	2.312177
3.367000	1.934713
3.466000	1.707099
3.565000	1.620575
3.664000	0.710844
3.763000	0.818565
3.862000	1.737316
3.961000	0.688974
4.060000	1.471459
4.159000	0.871286
4.258000	0.436861
4.357000	0.947868
4.456000	1.069219
4.555000	0.837018
4.654000	0.913366
4.753000	1.163377
4.852000	0.646734
4.951000	0.413297
5.050000	1.260983
5.149000	0.571007
5.248000	0.955690
5.347000	0.806450
5.446000	0.522206
5.545000	1.067935
5.644000	0.145849
5.743000	0.164256
5.842000	0.704424
5.941000	0.139013
6.040000	0.547380
6.139000	0.388860
6.238000	0.378716
6.337000	0.316752
6.436000	0.442641
6.535000	0.597680
6.634000	0.098233
6.733000	0.315564
6.832000	0.089191
6.931000	0.094605
7.030000	0.196218
7.129000	0.068676
7.228000	0.688282
7.327000	0.417397
7.426000	0.342616
7.525000	0.077121
7.624000	0.330704
7.723000	0.356167
7.822000	0.120087
7.921000	0.063861
8.020000	0.253931
8.119000	0.098034
8.218000	0.032947
8.317000	0.023113
8.416000	0.027811
8.515000	0.198240
8.614000	0.231353
8.713000	0.493336
8.812000	0.089086
8.911000	0.008403
9.010000	0.216084
9.109000	0.262485
9.208000	0.112502
9.307000	0.157534
9.406000	0.407288
9.505000	0.014306
9.604000	0.010862
9.703000	0.389109
9.802000	0.050472
9.901000	0.042935
10.000000	0.089875
