   r,m	P, W/m^2
---------------------------
0.100000	1555.158019
0.199000	388.957007
0.298000	173.610312
0.397000	95.072642
0.496000	66.319026
0.595000	46.215345
0.694000	29.998284
0.793000	24.138973
0.892000	16.648085
0.991000	12.984613
1.090000	14.631459
1.189000	9.038650
1.288000	9.234547
1.387000	9.324299
1.486000	7.498496
1.585000	6.507324
1.684000	5.977523
1.783000	5.872876
1.882000	4.138905
1.981000	2.761265
2.080000	2.837236
2.179000	4.250036
2.278000	3.103754
2.377000	2.044597
2.476000	1.648235
2.575000	1.693442
2.674000	3.196879
2.773000	1.756593
2.872000	2.321216
2.971000	1.106117
3.070000	1.826740
3.169000	1.102160
3.268000	1.940447
3.367000	1.054524
3.466000	0.966707
3.565000	1.869106
3.664000	0.896762
3.763000	0.609915
3.862000	1.065128
3.961000	0.618392
4.060000	1.555146
4.159000	0.785032
4.258000	0.826360
4.357000	0.364770
4.456000	1.443385
4.555000	0.712160
4.654000	0.372458
4.753000	0.264133
4.852000	1.042030
4.951000	0.200537
5.050000	0.316437
5.149000	0.822984
5.248000	0.556895
5.347000	0.918094
5.446000	0.235078
5.545000	0.896064
5.644000	0.304719
5.743000	0.546130
5.842000	0.999576
5.941000	0.827472
6.040000	0.643600
6.139000	0.573430
6.238000	0.699041
6.337000	0.689189
6.436000	0.252489
6.535000	0.069467
6.634000	0.395301
6.733000	0.157609
6.832000	0.227287
6.931000	0.259989
7.030000	0.423274
7.129000	0.626146
7.228000	0.641534
7.327000	0.718189
7.426000	0.641304
7.525000	0.063265
7.624000	0.441824
7.723000	0.368079
7.822000	0.039250
7.921000	0.471779
8.020000	0.127385
8.119000	0.145292
8.218000	0.044380
8.317000	0.090002
8.416000	0.151820
8.515000	0.628473
8.614000	0.113298
8.713000	0.238982
8.812000	0.400225
8.911000	0.225002
9.010000	0.081585
9.109000	0.173996
9.208000	0.292076
9.307000	0.541724
9.406000	0.491674
9.505000	0.429325
9.604000	0.351995
9.703000	0.021328
9.802000	0.261868
9.901000	0.213422
10.000000	0.117657
