   r,m	P, W/m^2
---------------------------
0.100000	1553.517914
0.199000	373.564453
0.298000	165.158852
0.397000	98.954395
0.496000	65.243249
0.595000	39.126002
0.694000	33.210761
0.793000	23.797491
0.892000	20.891392
0.991000	14.811449
1.090000	11.398693
1.189000	12.755006
1.288000	7.616425
1.387000	8.243049
1.486000	6.006773
1.585000	6.873507
1.684000	5.799830
1.783000	4.672029
1.882000	5.179617
1.981000	3.460078
2.080000	2.677589
2.179000	3.538747
2.278000	2.433679
2.377000	1.705927
2.476000	3.649180
2.575000	1.558611
2.674000	1.618853
2.773000	1.295151
2.872000	2.865790
2.971000	1.152833
3.070000	1.988232
3.169000	0.940550
3.268000	1.819986
3.367000	2.093359
3.466000	1.677381
3.565000	0.826772
3.664000	0.754427
3.763000	1.417624
3.862000	1.473140
3.961000	0.849942
4.060000	1.391823
4.159000	0.400754
4.258000	0.484380
4.357000	0.547622
4.456000	1.428307
4.555000	0.384429
4.654000	0.549742
4.753000	0.496523
4.852000	1.063355
4.951000	0.300356
5.050000	0.632583
5.149000	0.459145
5.248000	1.110428
5.347000	1.096940
5.446000	1.132062
5.545000	0.383333
5.644000	0.371481
5.743000	0.639040
5.842000	0.165999
5.941000	0.359739
6.040000	0.148836
6.139000	0.413358
6.238000	0.829458
6.337000	0.573508
6.436000	0.397013
6.535000	0.465525
6.634000	0.103431
6.733000	0.105833
6.832000	0.263706
6.931000	0.506745
7.030000	0.495030
7.129000	0.390692
7.228000	0.522214
7.327000	0.351372
7.426000	0.203227
7.525000	0.748821
7.624000	0.344911
7.723000	0.648322
7.822000	0.582647
7.921000	0.042186
8.020000	0.112570
8.119000	0.028746
8.218000	0.053340
8.317000	0.416091
8.416000	0.155657
8.515000	0.358614
8.614000	0.027346
8.713000	0.316873
8.812000	0.133468
8.911000	0.154471
9.010000	0.409837
9.109000	0.083905
9.208000	0.118529
9.307000	0.469739
9.406000	0.488055
9.505000	0.373462
9.604000	0.074983
9.703000	0.004153
9.802000	0.027080
9.901000	0.050297
10.000000	0.139192
