   r,m	P, W/m^2
---------------------------
0.100000	1532.406048
0.199000	390.339118
0.298000	163.826642
0.397000	92.447433
0.496000	58.312578
0.595000	45.168940
0.694000	34.661452
0.793000	24.164183
0.892000	19.140712
0.991000	15.659973
1.090000	12.149861
1.189000	9.463339
1.288000	8.467809
1.387000	9.110307
1.486000	5.401570
1.585000	6.438511
1.684000	6.251555
1.783000	5.675095
1.882000	3.587131
1.981000	4.452946
2.080000	3.094667
2.179000	4.382144
2.278000	2.963778
2.377000	2.152224
2.476000	1.691493
2.575000	2.931431
2.674000	3.028401
2.773000	2.030449
2.872000	1.747539
2.971000	2.116942
3.070000	2.541623
3.169000	1.734685
3.268000	0.765557
3.367000	1.840877
3.466000	1.431034
3.565000	1.155549
3.664000	0.779556
3.763000	1.047742
3.862000	1.414504
3.961000	0.772857
4.060000	1.554192
4.159000	1.097461
4.258000	0.877203
4.357000	0.912391
4.456000	0.890045
4.555000	0.915587
4.654000	0.337092
4.753000	0.448575
4.852000	1.105346
4.951000	0.326734
5.050000	0.417273
5.149000	0.907745
5.248000	0.587698
5.347000	0.399877
5.446000	1.002797
5.545000	0.159838
5.644000	0.779950
5.743000	0.253833
5.842000	0.849214
5.941000	0.295520
6.040000	0.884498
6.139000	0.298456
6.238000	0.848379
6.337000	0.276749
6.436000	0.163425
6.535000	0.448374
6.634000	0.157640
6.733000	0.202324
6.832000	0.152768
6.931000	0.099971
7.030000	0.220090
7.129000	0.406821
7.228000	0.535362
7.327000	0.270570
7.426000	0.045379
7.525000	0.619423
7.624000	0.179815
7.723000	0.208799
7.822000	0.086703
7.921000	0.410172
8.020000	0.262194
8.119000	0.456165
8.218000	0.051502
8.317000	0.093658
8.416000	0.227196
8.515000	0.147307
8.614000	0.038230
8.713000	0.030671
8.812000	0.031096
8.911000	0.564907
9.010000	0.098020
9.109000	0.011145
9.208000	0.124865
9.307000	0.576296
9.406000	0.056719
9.505000	0.004205
9.604000	0.276837
9.703000	0.057758
9.802000	0.198037
9.901000	0.332092
10.000000	0.025302
