   r,m	P, W/m^2
---------------------------
0.100000	1509.051490
0.199000	383.355042
0.298000	174.026172
0.397000	102.163340
0.496000	57.413996
0.595000	44.925900
0.694000	33.603205
0.793000	21.710497
0.892000	21.915019
0.991000	13.329976
1.090000	10.896187
1.189000	12.219660
1.288000	7.656275
1.387000	6.113728
1.486000	5.258303
1.585000	6.326544
1.684000	6.990436
1.783000	3.723153
1.882000	3.216779
1.981000	4.333351
2.080000	2.828051
2.179000	2.611281
2.278000	2.229571
2.377000	3.708425
2.476000	2.349588
2.575000	2.214256
2.674000	1.548453
2.773000	2.928850
2.872000	2.458520
2.971000	1.191920
3.070000	1.155333
3.169000	2.069569
3.268000	1.438851
3.367000	1.067423
3.466000	0.688854
3.565000	1.600748
3.664000	1.928904
3.763000	0.502909
3.862000	0.646636
3.961000	0.565909
4.060000	0.572724
4.159000	0.654898
4.258000	1.369738
4.357000	0.816491
4.456000	0.884790
4.555000	0.833710
4.654000	0.665799
4.753000	0.272127
4.852000	0.353790
4.951000	0.518160
5.050000	0.667072
5.149000	0.505487
5.248000	0.519403
5.347000	1.049897
5.446000	0.476023
5.545000	0.258038
5.644000	0.283064
5.743000	0.113858
5.842000	0.799689
5.941000	0.919879
6.040000	0.416479
6.139000	0.559057
6.238000	0.238483
6.337000	0.136834
6.436000	0.177066
6.535000	0.404597
6.634000	0.571541
6.733000	0.122654
6.832000	0.140202
6.931000	0.274106
7.030000	0.417113
7.129000	0.131104
7.228000	0.062535
7.327000	0.185447
7.426000	0.072754
7.525000	0.244292
7.624000	0.052602
7.723000	0.430684
7.822000	0.165711
7.921000	0.459355
8.020000	0.221269
8.119000	0.279849
8.218000	0.103881
8.317000	0.050864
8.416000	0.072481
8.515000	0.333134
8.614000	0.079923
8.713000	0.029008
8.812000	0.317821
8.911000	0.049055
9.010000	0.115092
9.109000	0.211350
9.208000	0.020952
9.307000	0.203921
9.406000	0.181542
9.505000	0.242136
9.604000	0.028373
9.703000	0.059202
9.802000	0.365585
9.901000	0.122625
10.000000	0.018127
