   r,m	P, W/m^2
---------------------------
0.100000	1530.484634
0.199000	396.027142
0.298000	168.009992
0.397000	103.198584
0.496000	62.362687
0.595000	43.013727
0.694000	29.948553
0.793000	25.172745
0.892000	22.110526
0.991000	15.225075
1.090000	14.805965
1.189000	11.761227
1.288000	9.119264
1.387000	7.516445
1.486000	6.533186
1.585000	4.988690
1.684000	5.023903
1.783000	4.057589
1.882000	5.266903
1.981000	3.406894
2.080000	3.696955
2.179000	2.720262
2.278000	3.727369
2.377000	2.028101
2.476000	1.547082
2.575000	2.059751
2.674000	1.445191
2.773000	1.162059
2.872000	1.707917
2.971000	2.442151
3.070000	1.097974
3.169000	0.927451
3.268000	0.884008
3.367000	0.843202
3.466000	1.310452
3.565000	1.200520
3.664000	1.238898
3.763000	0.998367
3.862000	0.912580
3.961000	1.430155
4.060000	0.782187
4.159000	0.989286
4.258000	0.667720
4.357000	0.750465
4.456000	0.648491
4.555000	0.374559
4.654000	0.361909
4.753000	0.237319
4.852000	0.612027
4.951000	0.658247
5.050000	0.651254
5.149000	0.192626
5.248000	0.927634
5.347000	0.703706
5.446000	0.613135
5.545000	0.738978
5.644000	0.385215
5.743000	0.231636
5.842000	0.574538
5.941000	0.778285
6.040000	0.485245
6.139000	0.608462
6.238000	0.613342
6.337000	0.510312
6.436000	0.409149
6.535000	0.113965
6.634000	0.063060
6.733000	0.400472
6.832000	0.255590
6.931000	0.733900
7.030000	0.082708
7.129000	0.342572
7.228000	0.131418
7.327000	0.094168
7.426000	0.681921
7.525000	0.065575
7.624000	0.524684
7.723000	0.155371
7.822000	0.050321
7.921000	0.154435
8.020000	0.551241
8.119000	0.147259
8.218000	0.605624
8.317000	0.418749
8.416000	0.319613
8.515000	0.554633
8.614000	0.114193
8.713000	0.143130
8.812000	0.337999
8.911000	0.067441
9.010000	0.093223
9.109000	0.329882
9.208000	0.198147
9.307000	0.571762
9.406000	0.103380
9.505000	0.245273
9.604000	0.453346
9.703000	0.181495
9.802000	0.018550
9.901000	0.374757
10.000000	0.122937
