   r,m	P, W/m^2
---------------------------
0.100000	1514.738124
0.199000	393.486172
0.298000	165.303884
0.397000	99.084365
0.496000	60.699479
0.595000	47.541491
0.694000	30.794898
0.793000	24.921477
0.892000	18.757459
0.991000	13.076498
1.090000	11.725688
1.189000	10.133974
1.288000	10.673470
1.387000	7.468451
1.486000	8.601340
1.585000	6.205439
1.684000	6.121478
1.783000	4.546686
1.882000	4.286095
1.981000	4.062877
2.080000	3.618457
2.179000	3.221016
2.278000	1.955290
2.377000	3.550760
2.476000	3.215251
2.575000	1.452710
2.674000	3.016872
2.773000	2.515276
2.872000	2.732809
2.971000	0.991896
3.070000	1.643540
3.169000	1.691787
3.268000	0.760039
3.367000	0.768386
3.466000	2.125915
3.565000	0.936100
3.664000	1.258227
3.763000	0.643949
3.862000	1.359179
3.961000	0.427625
4.060000	0.727434
4.159000	0.863698
4.258000	1.579377
4.357000	0.845805
4.456000	0.948867
4.555000	0.569485
4.654000	1.388494
4.753000	0.317904
4.852000	0.419605
4.951000	0.903618
5.050000	0.555337
5.149000	1.004609
5.248000	1.179649
5.347000	0.985754
5.446000	0.423614
5.545000	0.326665
5.644000	0.570100
5.743000	0.795540
5.842000	0.555551
5.941000	0.835036
6.040000	0.922410
6.139000	0.263757
6.238000	0.909438
6.337000	0.398173
6.436000	0.593816
6.535000	0.491183
6.634000	0.517744
6.733000	0.240384
6.832000	0.516403
6.931000	0.359170
7.030000	0.273917
7.129000	0.478560
7.228000	0.485279
7.327000	0.099360
7.426000	0.639981
7.525000	0.113254
7.624000	0.075003
7.723000	0.033504
7.822000	0.334073
7.921000	0.195491
8.020000	0.576023
8.119000	0.272608
8.218000	0.144563
8.317000	0.145449
8.416000	0.240382
8.515000	0.023312
8.614000	0.277181
8.713000	0.031071
8.812000	0.049448
8.911000	0.197299
9.010000	0.190694
9.109000	0.133282
9.208000	0.267737
9.307000	0.361287
9.406000	0.266304
9.505000	0.337438
9.604000	0.098112
9.703000	0.109856
9.802000	0.202132
9.901000	0.011535
10.000000	0.387825
