   r,m	P, W/m^2
---------------------------
0.100000	1519.902408
0.199000	384.882078
0.298000	168.310349
0.397000	100.744945
0.496000	58.180131
0.595000	46.483159
0.694000	34.057353
0.793000	25.583574
0.892000	18.536904
0.991000	17.661455
1.090000	11.317224
1.189000	9.531134
1.288000	11.285559
1.387000	7.687747
1.486000	7.279829
1.585000	6.996346
1.684000	6.034210
1.783000	4.638344
1.882000	4.659564
1.981000	3.030352
2.080000	3.936057
2.179000	2.617575
2.278000	2.983860
2.377000	2.860697
2.476000	3.007835
2.575000	1.960873
2.674000	3.260345
2.773000	1.646125
2.872000	1.280207
2.971000	2.311680
3.070000	0.921569
3.169000	2.068302
3.268000	2.101330
3.367000	0.784588
3.466000	0.809658
3.565000	0.573289
3.664000	0.841053
3.763000	0.481944
3.862000	1.430025
3.961000	1.570191
4.060000	1.368532
4.159000	0.602309
4.258000	1.009305
4.357000	0.341384
4.456000	1.088833
4.555000	0.554563
4.654000	0.935917
4.753000	0.487247
4.852000	0.366588
4.951000	0.816484
5.050000	0.180689
5.149000	0.875291
5.248000	0.830032
5.347000	0.592041
5.446000	1.134681
5.545000	0.387367
5.644000	0.881502
5.743000	1.000548
5.842000	0.200891
5.941000	0.252061
6.040000	0.180128
6.139000	0.887123
6.238000	0.565984
6.337000	0.257769
6.436000	0.352901
6.535000	0.353259
6.634000	0.254078
6.733000	0.285231
6.832000	0.723640
6.931000	0.189770
7.030000	0.494281
7.129000	0.573475
7.228000	0.756957
7.327000	0.309088
7.426000	0.209088
7.525000	0.574666
7.624000	0.077970
7.723000	0.238397
7.822000	0.071523
7.921000	0.085928
8.020000	0.201787
8.119000	0.224869
8.218000	0.650849
8.317000	0.327822
8.416000	0.621405
8.515000	0.422116
8.614000	0.543700
8.713000	0.013469
8.812000	0.556338
8.911000	0.066084
9.010000	0.038749
9.109000	0.565755
9.208000	0.159416
9.307000	0.016157
9.406000	0.447918
9.505000	0.006367
9.604000	0.462561
9.703000	0.380864
9.802000	0.102040
9.901000	0.254694
10.000000	0.078606
